"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ontologyall","go","entrez","ensemblprot","symbol","path"
"ENSMUSG00000041939",13.4018657679361,0.829368469517471,0.579402564523396,1.43142008734409,0.152309854777576,0.284426603761967,"BP","Mvk","17855",NA,"GO:0000166","00900"
"ENSMUSG00000064179",41.5003474781056,0.536980800832436,0.375142438355888,1.43140510358099,0.152314146571428,0.284426603761967,"BP","Tnnt1","21955",NA,"GO:0003009",NA
"ENSMUSG00000027076",48.4838788412246,0.503121734304202,0.35201004597703,1.42928231751952,0.152923106193443,0.285513241079578,"BP","Timm10","30059",NA,"GO:0005215",NA
"ENSMUSG00000031986",5.38735119312571,-1.05322166736264,0.737053479634808,-1.42896234325422,0.153015057016837,0.285546140033828,"BP","Sprtn","244666","ENSMUSP00000034467","GO:0003677",NA
"ENSMUSG00000042700",23.6960330245107,0.716460495233578,0.501368242350115,1.42901052502895,0.153001208358392,0.285546140033828,"BP","Sipa1l1","217692",NA,"GO:0005096",NA
"ENSMUSG00000043019",5.04458705819091,-1.08213464189497,0.75729720405632,-1.42894313632576,0.153020577838784,0.285546140033828,"BP","Edem3","66967",NA,"GO:0004569","04141"
"ENSMUSG00000016554",158.827085767169,0.289932597791358,0.20297557045291,1.4284112967113,0.153173509525927,0.285781810468548,"BP","Eif3d","55944","ENSMUSP00000098053","GO:0001732","03013"
"ENSMUSG00000034613",110.6766496199,0.361117807825515,0.252950442789203,1.42762275425805,0.153400470619133,0.286155494488274,"BP","Ppm1h","319468",NA,"GO:0003824",NA
"ENSMUSG00000015837",133.191189825752,-0.33268117884851,0.233048626902188,-1.42751829637743,0.153430555230157,0.286161856138581,"BP","Sqstm1","18412",NA,"GO:0000122","04380"
"ENSMUSG00000036026",16.1248921493608,0.790444119128786,0.553875141322804,1.42711607753507,0.153546439011361,0.286328210970604,"BP","Tmem63b","224807",NA,"GO:0000166",NA
"ENSMUSG00000015189",7.46565178933638,1.0842906011498,0.760059798753584,1.42658591196104,0.153699287344105,0.286510803340227,"BP","Casd1","213819",NA,"GO:0005515",NA
"ENSMUSG00000017221",149.878804470352,0.296226548485167,0.207645464508553,1.4265977308306,0.153695878668247,0.286510803340227,"BP","Psmd3","22123",NA,"GO:0000502","03050"
"ENSMUSG00000025574",1.30054626320338,-0.99652083160432,0.698578214935,-1.42649857997224,0.153724476512523,0.286510803340227,"BP","Tk1","21877",NA,"GO:0000166","00240"
"ENSMUSG00000055968",9.25205097306551,-0.987006192322067,0.692454001550765,-1.42537437882032,0.154049010171153,0.287065794878605,NA,NA,NA,NA,NA,NA
"ENSMUSG00000009292",2.84578045109434,-1.08443273299913,0.761004319697882,-1.42500207282614,0.154156601923629,0.287174178079781,"BP","Trpm2","28240",NA,"GO:0005216",NA
"ENSMUSG00000097154",8.89702880479631,0.944546044812162,0.662844975252612,1.42498786304021,0.154160709504237,0.287174178079781,NA,NA,NA,NA,NA,NA
"ENSMUSG00000085227",1.79797470552761,-1.0433675899171,0.732269494118702,-1.42484098859371,0.154203170937201,0.287203405870537,"BP","6330418K02Rik","69004",NA,"GO:0003674",NA
"ENSMUSG00000042644",14.2134738886271,-0.860277463299357,0.60393595049165,-1.42445148794177,0.154315818692556,0.287363322849113,"BP","Itpr3","16440","ENSMUSP00000038150","GO:0000822","04020"
"ENSMUSG00000031904",72.4078609801451,0.4122931648169,0.289584313715767,1.42374136059585,0.154521356022271,0.287696131101514,"BP","Slc7a6","330836","ENSMUSP00000034378","GO:0003333",NA
"ENSMUSG00000056145",3.6691973405068,1.08915732406769,0.765092663026719,1.42356263064786,0.154573119878141,0.28774256985124,NA,"AI504432","229694",NA,NA,NA
"ENSMUSG00000031527",144.333701629075,0.310753862838406,0.21838720312925,1.42294904823013,0.154750926162322,0.287973622874135,"BP","Eri1","67276","ENSMUSP00000033927","GO:0000467",NA
