gene	spt7.del	wt
NPP2	8.70189208593468	8.7593689192509
PMP2	15.0741205515527	15.7218521764136
GTT3	11.1303646326704	11.3829589955221
EAF5	9.85955186878469	9.94071588043447
MMS21	7.84467438408065	7.78520395990542
YEL020C	8.45081122379109	8.37510026660213
TIM9	9.60862261149698	10.5831485995425
URA3	6.59105103284544	6.69255273655711
GEA2	12.4180739642331	12.0013167035136
YEL023C	8.75394209362993	8.79398039267064
RIP1	10.4803762124055	9.92690526761261
YEL025C	9.72913806518347	9.90246104047188
SNU13	13.6377569454121	13.8605632522876
CUP5	14.7059185222972	14.56420308978
YEL028W	8.4777339852571	8.53886015783734
BUD16	9.21640151005161	9.25128830241354
ECM10	10.1407275389815	10.0100804723061
SPF1	11.9634668989215	11.7856036775613
MCM3	9.77859463230992	10.3684846353964
MTC7	6.94675424994812	7.10571997711885
HYP2	15.3261064175995	15.3859398975929
UTR5	6.79234782166242	6.93655549693044
ANP1	10.7426041772903	10.9656688644419
RAD23	11.4060880541389	11.4650561678312
UTR4	11.5289472972734	11.4701555205493
CYC7	8.71709717268197	8.5151399955321
UTR2	11.6371637180172	12.6534474635868
YEF1	7.57272296083277	7.62464926022858
GDA1	12.6710080290972	12.3811589744991
YEL043W	10.5060298268904	10.1870179627651
IES6	10.4413569029043	10.2458972957107
YEL045C	10.2928392534645	10.7889222039606
GLY1	12.4946556129002	13.02542336592
YEL047C	10.6342483801312	9.64709500861826
TCA17	9.2991667979401	9.76019765553753
PAU2	9.54062209398433	9.69064930772111
RML2	10.5837127509764	10.8111017036804
VMA8	14.103361580704	13.8499621317267
AFG1	11.9293656819722	11.5486822549835
MAK10	10.2342306557316	10.1276074876074
RPL12A	15.1692477965137	15.3660967755328
POL5	11.5834542089531	11.6682467961863
HAT2	9.86917739868305	9.88228691648503
YEL057C	7.30360724910083	7.106787996402
PCM1	12.2369888182208	11.9404530876327
SOM1	9.3790512324605	8.88646784112664
ENV6	5.99095712878364	6.01653197677243
PRB1	10.3958232881176	10.8018780777615
CIN8	10.5997083219508	10.5620706645875
NPR2	9.49586501781546	9.38703721185921
CAN1	11.2078684552121	11.3163098196069
AVT2	9.09401960711789	9.04691662912716
SIT1	10.7506232522198	12.0968633689682
HPA3	9.52652075713941	9.82373821656678
YEL067C	7.6947200391904	7.77391063618338
YEL068C	9.89947475079533	10.6462166707874
HXT13	7.90026908246399	8.55918204103441
YNR073C	11.0993675371832	11.2817851707837
DLD3	13.3764781496728	13.4712179498439
RMD6	8.66851274219538	8.48992019370951
YEL073C	8.77945672463417	9.39443697024949
YEL074W	10.1781668547844	10.1742765733291
YHL049C	8.90769887948762	8.59692396443814
YEL076C	7.40678324332014	7.2941336422278
YJL225C	8.34308353481345	8.30613462003565
YEL075W-A	9.34662231902844	9.06706052926893
MNN1	9.99937995875309	11.2005430968714
NOP16	11.7097774149131	11.8088395219694
PMI40	11.9957848135395	11.9601974648315
FMP52	11.0271595819421	10.4296682651331
YND1	10.0545364886727	9.96375009392533
NUG1	12.2656941522891	12.2489000555785
TMA20	12.6975431857464	12.6834618043134
PAC2	9.25889810995573	9.2351789575191
SEC3	10.1217018651075	10.0145226751729
NTF2	14.2100548708571	14.0604257387771
YER010C	9.35012591748871	9.33495480051181
TIR1	13.7929021110321	14.6305174131798
PRE1	13.2541398935364	13.1756774102894
PRP22	10.6094835006768	10.3726909687595
BUD25	7.27847733611617	7.27996337724685
HEM14	9.62337490358424	9.38177436945869
FAA2	8.37563029384588	8.34742205694433
BIM1	10.8235185080857	11.0381165070235
AFG3	10.896741084384	10.7068672203727
SPC25	8.93586633249201	8.74370345180413
SBH2	13.8291578331761	13.8576700359625
ISC1	9.90776045876331	10.0837452373945
GPA2	12.4723024471693	11.8768929191505
RPN3	12.4608884351922	12.4779100146032
SRB4	10.9272520379584	10.7485367068446
PRO3	13.0257815018049	12.9364447079769
YAT2	8.98159582158197	8.84287515006551
GCD11	12.2900476544533	12.2085178694471
CHO1	13.3153052607367	13.309447931673
GAL83	10.383401899549	10.5406220939843
MIG3	8.93446047694168	9.04554945208958
SMB1	9.82738716745774	10.0560551008991
CHZ1	12.3969418700902	12.1424006733156
YPT31	12.3355885441528	12.4004498717791
FIR1	11.0481258144756	10.9980121076234
ZRG8	9.47908703812323	9.30534814246609
YER034W	9.43493049478604	9.67753466888085
EDC2	9.73623448102755	10.5934564861349
ARB1	13.5153179268585	14.2292769739365
PHM8	7.7083596978622	9.26097832199408
KRE29	8.47362458305826	8.28361624113596
HVG1	10.2986926781279	10.3613406976486
YER039C-A	8.90660503395537	8.79565007727105
GLN3	9.81406649602369	9.68828353445456
YEN1	9.41156818624105	9.29278634965113
MXR1	11.3428580454169	10.6061368223965
SAH1	14.749523792673	14.9846587692775
ERG28	9.06063109000387	10.3453387104391
MEI4	6.62820054370291	6.92138872260787
ACA1	9.36972819703754	9.45394140327797
SPO73	10.3135406379968	10.6299303051661
SAP1	8.45759018806211	8.19433826442426
CAJ1	11.809237569478	11.8011465279347
ISD11	12.25284871403	12.0424596663147
TPA1	12.0467966095738	12.3451889925915
RSM18	10.8724517261799	10.9743715664491
JHD1	9.78140725610059	9.46369601516157
HOM3	12.0031559631793	11.9383299049279
PIC2	9.20427523915968	9.99497564170471
YER053C-A	9.48911940613669	9.85990434229703
GIP2	7.18393306942549	7.14750004929516
HIS1	13.2577929544533	13.8082201185823
FCY2	12.132207305231	13.4686876748528
RPL34A	15.5593113598815	15.4505926814274
HMF1	12.5255550653549	12.0609593210633
PET117	8.95731102852324	9.25464836603914
PCL6	9.93282595896533	9.87343642222281
FCY21	10.0580864557209	10.5122466428292
FCY22	11.6087861460664	12.9866846856934
CEM1	9.14818165754223	9.14765776341976
HOR2	12.794235111983	14.0346098457325
THO1	11.1503565802083	11.4721932724019
YER064C	11.1015949277536	11.1863123643115
ICL1	8.50905446640691	8.28457890796828
YER066C-A	6.26945025549142	6.13046348280366
RRT13	8.80504411627783	8.77861598557923
RGI1	8.18275684396437	8.93210252158157
MOT2	9.51209056056476	9.51476730369042
ARG5,6	9.94586517055905	10.7462203777705
RNR1	11.1306670824385	12.4282790319134
TDA2	10.4929447232275	10.3599801096005
VTC1	12.3227478312088	12.531279103521
